"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="2030314945670413292",="2030314945670413292","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","卖家已发货，等待买家确认","HZQS001男款Z",="2023120522001145171424256860","69.00","69.00","没有申请退款","无退款申请","2023-12-05 07:48:35","2023-12-05 07:48:53",="750317780468","null","null","","null","2023-12-06 15:27:27","No:773259073270057","申通快递","否","null","null"
="3661517485771883657",="3661517485770883657","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","卖家已发货，等待买家确认","HZQS001女款Z",="2023120422001121731409024069","69.00","66.50","没有申请退款","无退款申请","2023-12-04 22:54:03","2023-12-04 22:54:45",="750317780468","null","null","","null","2023-12-05 14:03:01","No:773258873461386","申通快递","否","null","null"
="3661517485772883657",="3661517485770883657","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","卖家已发货，等待买家确认","HZQS001男款Z",="2023120422001121731409024069","69.00","66.50","没有申请退款","无退款申请","2023-12-04 22:54:03","2023-12-04 22:54:45",="750317780468","null","null","","null","2023-12-06 15:25:42","No:773259073950725","申通快递","否","null","null"
="3660587138304240710",="3660587138303240710","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023120422001113981442133596","69.00","69.00","没有申请退款","无退款申请","2023-12-04 13:42:30","2023-12-04 13:42:39",="750317780468","null","null","","null","2023-12-06 15:25:42","No:773259073950713","申通快递","否","null","null"
="3660587138305240710",="3660587138303240710","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023120422001113981442133596","69.00","69.00","没有申请退款","无退款申请","2023-12-04 13:42:30","2023-12-04 13:42:39",="750317780468","null","null","","null","2023-12-05 14:03:02","No:773258873384852","申通快递","否","null","null"
="3656631531116925415",="3656631531116925415","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","卖家已发货，等待买家确认","HZQS001女款Z",="2023120222001110811445771171","69.00","69.00","没有申请退款","无退款申请","2023-12-02 09:17:32","2023-12-02 09:17:34",="750317780468","null","null","","null","2023-12-03 09:57:34","No:773258480146625","申通快递","否","null","null"
="3641756544811578427",="3641756544811578427","【艾米严选】慕江南-袜子-羊绒袜","69.00","2","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001185591437360050","138.00","138.00","没有申请退款","无退款申请","2023-11-22 17:21:53","2023-11-22 17:22:05",="750317780468","null","null","","null","2023-11-23 11:01:54","No:773256825152645","申通快递","否","null","null"
="3642373515537578427",="3642373515536578427","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易关闭","HZQS001女款Z",="2023112222001185591433358773","69.00","69.00","退款成功","69.00","2023-11-22 17:00:36","2023-11-22 17:00:50",="750317780468","null","null","","null","null","null","null","否","null","null"
="3642373515538578427",="3642373515536578427","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易关闭","HZQS001男款Z",="2023112222001185591433358773","69.00","69.00","退款成功","69.00","2023-11-22 17:00:36","2023-11-22 17:00:50",="750317780468","null","null","","null","null","null","null","否","null","null"
="3641727528232578427",="3641727528232578427","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易关闭","HZQS001男款Z",="2023112222001185591440037247","69.00","69.00","退款成功","69.00","2023-11-22 16:59:36","2023-11-22 17:14:56",="750317780468","null","null","","null","null","null","null","否","null","null"
