"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3641358564396854210",="3641358564396854210","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001114121454747991","69.00","69.00","没有申请退款","无退款申请","2023-11-22 13:00:53","2023-11-22 13:00:57",="750317780468","null","null","","null","2023-11-23 08:58:10","No:773256824076944","申通快递","否","null","null"
="3641626478526181208",="3641626478526181208","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001107551451814813","69.00","69.00","没有申请退款","无退款申请","2023-11-22 10:34:58","2023-11-22 10:35:08",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170982","申通快递","否","null","null"
="2023883690720932872",="2023883690720932872","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001111541449896767","69.00","69.00","没有申请退款","无退款申请","2023-11-22 10:29:21","2023-11-22 10:29:31",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170975","申通快递","否","null","null"
="2023254336890624890",="2023254336890624890","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001110731438618032","69.00","69.00","没有申请退款","无退款申请","2023-11-22 10:02:28","2023-11-22 10:02:36",="750317780468","null","null","","null","2023-11-23 08:52:27","No:773256752629088","申通快递","否","null","null"
="3641011740219374756",="3641011740219374756","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001153301411877435","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:29:25","2023-11-22 09:29:28",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170969","申通快递","否","null","null"
="3641633859514553108",="3641633859514553108","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001184971444285813","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:22:06","2023-11-22 09:22:14",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170957","申通快递","否","null","null"
="3640983660953284462",="3640983660953284462","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001150951446822960","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:11:29","2023-11-22 09:11:40",="750317780468","null","null","","null","2023-11-23 08:52:27","No:773256752629076","申通快递","否","null","null"
="3641490866357995722",="3641490866357995722","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易关闭","HZQS001男款Z",="2023112222001122331409954865","69.00","69.00","退款成功","69.00","2023-11-22 09:11:12","2023-11-22 09:11:16",="750317780468","null","null","","null","null","null","null","否","null","null"
="3640982184506976417",="3640982184506976417","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001181791421833473","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:09:21","2023-11-22 09:09:22",="750317780468","null","null","","null","2023-11-23 08:52:26","No:773256752629064","申通快递","否","null","null"
="3641373649165894613",="3641373649165894613","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001149351425415155","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:04:15","2023-11-22 09:04:23",="750317780468","null","null","","null","2023-11-23 08:52:26","No:773256752629052","申通快递","否","null","null"
="3641372677163482145",="3641372677163482145","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001129541440423519","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:03:39","2023-11-22 09:03:41",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170945","申通快递","否","null","null"
="3641369365823045053",="3641369365823045053","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易成功","HZQS001女款Z",="2023112222001140041452720923","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:03:24","2023-11-22 09:03:49",="750317780468","null","null","","null","2023-11-23 08:52:25","No:773256752629045","申通快递","否","null","null"
="3640974984220330059",="3640974984220330059","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001女款Z","颜色分类：女款;尺码：均码","null","null","交易关闭","HZQS001女款Z",="2023112222001187581407540248","69.00","69.00","退款成功","69.00","2023-11-22 09:03:19","2023-11-22 09:03:20",="750317780468","null","null","","null","null","null","null","否","null","null"
="3641480462519057535",="3641480462519057535","【艾米严选】慕江南-袜子-羊绒袜","69.00","1","HZQS001男款Z","颜色分类：男款;尺码：均码","null","null","交易成功","HZQS001男款Z",="2023112222001100731445979112","69.00","69.00","没有申请退款","无退款申请","2023-11-22 09:03:16","2023-11-22 09:03:24",="750317780468","null","null","","null","2023-11-22 15:00:08","No:773256703170933","申通快递","否","null","null"
="3636286995001586406",="3636286995001586406","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易成功","YYMZ005白色",="2023111822001146651414449981","59.00","59.00","没有申请退款","无退款申请","2023-11-18 14:47:07","2023-11-18 21:18:04",="746925542915","null","null","","null","2023-11-19 09:50:51","No:773256101085861","申通快递","否","null","null"
="3629703205944813534",="3629703205944813534","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111422001136371442132740","59.00","59.00","没有申请退款","无退款申请","2023-11-14 10:06:43","2023-11-14 10:06:49",="746925542915","null","null","","null","2023-11-15 14:23:02","No:773255411909433","申通快递","否","null","null"
="2017894260783012778",="2017894260783012778","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易成功","YYMZ005白色",="2023111422001135201451315107","59.00","59.00","没有申请退款","无退款申请","2023-11-14 04:58:43","2023-11-14 04:58:52",="746925542915","null","null","","null","2023-11-14 14:28:38","No:773255141238893","申通快递","否","null","null"
="3629093688715574248",="3629093688715574248","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易成功","YYMZ005白色",="2023111422001190791401396910","59.00","59.00","没有申请退款","无退款申请","2023-11-14 03:21:29","2023-11-14 03:21:38",="746925542915","null","null","","null","2023-11-14 14:28:18","No:773255141238881","申通快递","否","null","null"
="3629375173722784056",="3629375173722784056","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001172001435555273","59.00","59.00","没有申请退款","无退款申请","2023-11-13 23:14:56","2023-11-13 23:14:59",="746925542915","null","null","","null","2023-11-14 15:09:24","No:773255141238870","申通快递","否","null","null"
="2018403914848111979",="2018403914848111979","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001190281445790481","59.00","59.00","没有申请退款","无退款申请","2023-11-13 21:48:11","2023-11-13 21:50:11",="746925542915","null","null","","null","2023-11-14 15:09:13","No:773255141238868","申通快递","否","null","null"
="3628569780571186415",="3628569780571186415","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001194361417285050","59.00","59.00","没有申请退款","无退款申请","2023-11-13 18:54:31","2023-11-13 18:54:43",="746925542915","null","null","","null","2023-11-14 15:08:39","No:773255141238856","申通快递","否","null","null"
="3628742977197547751",="3628742977197547751","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易关闭","YYMZ005白色",="2023111322001108981459054952","59.00","59.00","退款成功","59.00","2023-11-13 16:14:15","2023-11-13 16:14:18",="746925542915","null","null","(收) YYMZ005白色*1#","null","2023-11-14 14:28:07","No:773255141238844","申通快递","否","null","null"
="2018097878297243387",="2018097878297243387","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易关闭","YYMZ005黑色",="2023111322001146071419272610","59.00","59.00","退款成功","59.00","2023-11-13 14:35:35","2023-11-13 14:35:37",="746925542915","null","null","","null","null","null","null","否","null","null"
="3628718103135995550",="3628718103135995550","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易关闭","YYMZ005黑色",="2023111322001147941443583232","59.00","59.00","退款成功","59.00","2023-11-13 13:26:57","2023-11-13 13:26:58",="746925542915","null","null","(收) YYMZ005黑色*1#","null","2023-11-14 15:08:25","No:773255140242615","申通快递","否","null","null"
="3628713531223995550",="3628713531223995550","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易关闭","YYMZ005白色",="2023111322001147941442288144","59.00","59.00","退款成功","59.00","2023-11-13 13:25:57","2023-11-13 13:25:59",="746925542915","null","null","","null","null","null","null","否","null","null"
="3628555562512148761",="3628555562512148761","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001186281445770638","59.00","59.00","没有申请退款","无退款申请","2023-11-13 13:24:42","2023-11-13 13:24:47",="746925542915","null","null","","null","2023-11-14 14:30:33","No:773255140242603","申通快递","否","null","null"
="3628494974193960832",="3628494974193960832","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易关闭","YYMZ005白色",="2023111322001187231414173997","59.00","59.00","退款成功","59.00","2023-11-13 12:45:51","2023-11-13 12:46:00",="746925542915","null","null","(收) YYMZ005白色*1#","null","2023-11-14 14:27:53","No:773255140242597","申通快递","否","null","null"
="2017751199898926569",="2017751199898926569","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易成功","YYMZ005白色",="2023111322001101021410146807","59.00","59.00","没有申请退款","无退款申请","2023-11-13 12:43:11","2023-11-13 12:43:18",="746925542915","null","null","","null","2023-11-14 14:27:09","No:773255140242585","申通快递","否","null","null"
="3628339994883365300",="3628339994883365300","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易关闭","YYMZ005黑色",="2023111322001197981449790187","59.00","59.00","退款成功","59.00","2023-11-13 11:19:46","2023-11-13 11:19:55",="746925542915","null","null","","null","null","null","null","否","null","null"
="3628179902653798032",="3628179902653798032","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001140361420839332","59.00","59.00","没有申请退款","无退款申请","2023-11-13 09:46:20","2023-11-13 09:46:22",="746925542915","null","null","","null","2023-11-14 14:30:15","No:773255140242573","申通快递","否","null","null"
="2017882273844665281",="2017882273844665281","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易成功","YYMZ005黑色",="2023111322001115991404126102","59.00","59.00","没有申请退款","无退款申请","2023-11-13 09:32:36","2023-11-13 09:32:49",="746925542915","null","null","","null","2023-11-14 14:29:44","No:773255140242561","申通快递","否","null","null"
="3627554328103068728",="3627554328103068728","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易成功","YYMZ005白色",="2023111322001131251458516560","59.00","59.00","没有申请退款","无退款申请","2023-11-13 08:02:27","2023-11-13 08:02:34",="746925542915","null","null","","null","2023-11-13 10:14:08","No:773254919702373","申通快递","否","null","null"
="2017836625549257796",="2017836625549257796","【女神关关】慕江南-丝巾-华丽派对","428.00","1","HSQF6005橙边S","颜色分类：橙边","null","null","交易成功","HSQF6005橙边S",="2023111322001167251454246391","428.00","428.00","没有申请退款","无退款申请","2023-11-13 08:00:31","2023-11-13 08:00:43",="746847225335","null","null","","null","2023-11-13 09:16:03","No:773254919702361","申通快递","否","null","null"
="2017834357905127568",="2017834357905127568","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005黑色","颜色分类：黑色","null","null","交易关闭","YYMZ005黑色",="2023111322001103361425499296","59.00","59.00","退款成功","59.00","2023-11-13 07:55:14","2023-11-13 07:55:30",="746925542915","null","null","(收) YYMZ005黑色*1#","null","2023-11-13 10:22:50","No:773254919702350","申通快递","否","null","null"
="3628178535273579339",="3628178535273579339","【女神关关】慕江南-帽子-初雪","59.00","1","YYMZ005白色","颜色分类：白色","null","null","交易关闭","YYMZ005白色",="2023111322001117871407809208","59.00","59.00","退款成功","59.00","2023-11-13 06:45:12","2023-11-13 06:45:17",="746925542915","null","null","","null","null","null","null","否","null","null"
