"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3667678056390047464",="3667678056390047464","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120822001183641406781861","99.00","99.00","没有申请退款","无退款申请","2023-12-08 17:51:30","2023-12-08 17:51:39",="710443252162","null","null","","null","2023-12-09 09:29:10","No:773259466170507","申通快递","否","null","null"
="3665951067021013005",="3665951067021013005","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120722001186671419697077","99.00","99.00","没有申请退款","无退款申请","2023-12-07 10:34:53","2023-12-07 10:35:00",="710443252162","null","null","","null","2023-12-08 10:02:54","No:773259307512497","申通快递","否","null","null"
="3660943609375531765",="3660943609375531765","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120422001168221411351357","99.00","99.00","没有申请退款","无退款申请","2023-12-04 17:36:10","2023-12-04 17:36:16",="710443252162","null","null","","null","2023-12-05 08:55:40","No:773258808143835","申通快递","否","null","null"
="3660226200524847658",="3660226200524847658","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120422001168431412258105","99.00","99.00","没有申请退款","无退款申请","2023-12-04 14:55:00","2023-12-04 14:55:08",="710443252162","null","null","","null","2023-12-05 08:55:24","No:773258808972829","申通快递","否","null","null"
="3660261087263013005",="3660261087263013005","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120422001186671400084867","99.00","99.00","没有申请退款","无退款申请","2023-12-04 09:42:01","2023-12-04 09:42:08",="710443252162","null","null","","null","2023-12-05 08:55:08","No:773258808972817","申通快递","否","null","null"
="3660053654699084101",="3660053654699084101","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","卖家已发货，等待买家确认","YD105灰色",="2023120422001145981442191505","99.00","99.00","没有申请退款","无退款申请","2023-12-04 08:58:02","2023-12-04 08:58:04",="710443252162","null","null","","null","2023-12-05 15:48:22","No:773258910804034","申通快递","否","null","null"
="3659870918318379071",="3659870918318379071","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","卖家已发货，等待买家确认","YD105灰色",="2023120422001191101432566815","99.00","99.00","没有申请退款","无退款申请","2023-12-04 00:24:47","2023-12-04 00:24:55",="710443252162","null","null","","null","2023-12-04 09:36:24","No:773258639283275","申通快递","否","null","null"
="3659361732425425754",="3659361732425425754","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易关闭","YD105焦糖",="2023120422001183151436185974","99.00","99.00","退款成功","114.00","2023-12-04 00:09:56","2023-12-04 00:10:03",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659757841724391825",="3659757841723391825","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001130071419248077","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:52:19","2023-12-03 23:52:30",="710443252162","null","null","","null","2023-12-05 16:14:50","No:773258919194405","申通快递","否","null","null"
="3659757841725391825",="3659757841723391825","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","null","卖家已发货，等待买家确认","YD105米杏",="2023120322001130071419248077","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:52:19","2023-12-03 23:52:30",="710443252162","null","null","","null","2023-12-05 14:23:50","No:773258872455963","申通快递","否","null","null"
="3659933739848723919",="3659933739847723919","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001100671453142996","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:26:53","2023-12-03 23:27:00",="710443252162","null","null","","null","2023-12-05 16:15:09","No:773258919194399","申通快递","否","null","null"
="3659933739849723919",="3659933739847723919","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001100671453142996","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:26:53","2023-12-03 23:27:00",="710443252162","null","null","","null","2023-12-05 13:28:31","No:773258872455951","申通快递","否","null","null"
="3659703805124839748",="3659703805124839748","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001122221407380002","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:01:24","2023-12-03 23:01:29",="710443252162","null","null","","null","2023-12-04 09:17:15","No:773258639283263","申通快递","否","null","null"
="3659720906488608671",="3659720906488608671","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023120322001150081411787084","99.00","99.00","没有申请退款","无退款申请","2023-12-03 22:31:08","2023-12-03 22:31:14",="710443252162","null","null","","null","2023-12-05 15:46:21","No:773258910804022","申通快递","否","null","null"
="2029362708578605295",="2029362708578605295","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001126011457848031","99.00","99.00","没有申请退款","无退款申请","2023-12-03 22:28:10","2023-12-04 19:45:04",="710443252162","null","null","","null","2023-12-05 08:55:55","No:773258808143842","申通快递","否","null","null"
="2030026837350773289",="2030026837350773289","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001151891459097794","99.00","99.00","没有申请退款","无退款申请","2023-12-03 22:22:08","2023-12-03 22:22:09",="710443252162","null","null","","null","2023-12-05 15:46:36","No:773258910804015","申通快递","否","null","null"
="3659188284929680516",="3659188284929680516","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001167201433081122","99.00","98.26","没有申请退款","无退款申请","2023-12-03 22:17:02","2023-12-03 22:17:16",="710443252162","null","null","","null","2023-12-05 15:48:36","No:773258910804009","申通快递","否","null","null"
="3659834415047705736",="3659834415047705736","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001175901446702384","99.00","99.00","没有申请退款","无退款申请","2023-12-03 22:14:00","2023-12-03 22:14:12",="710443252162","null","null","","null","2023-12-05 15:46:55","No:773258910803995","申通快递","否","null","null"
="3659754099958950678",="3659754099958950678","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易成功","YD105深咖",="2023120322001137861433242919","99.00","99.00","没有申请退款","无退款申请","2023-12-03 21:42:22","2023-12-03 21:42:29",="710443252162","null","null","","null","2023-12-04 10:26:18","No:773258651808700","申通快递","否","null","null"
="3659110848201023012",="3659110848201023012","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023120322001190871404676236","99.00","99.00","退款成功","99.00","2023-12-03 21:30:20","2023-12-03 21:30:28",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659611682248995946",="3659611682248995946","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001186961433264336","99.00","99.00","没有申请退款","无退款申请","2023-12-03 21:29:55","2023-12-03 21:30:00",="710443252162","null","null","","null","2023-12-04 09:17:09","No:773258639283240","申通快递","否","null","null"
="3659093928412619622",="3659093928412619622","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001131321414646679","99.00","99.00","没有申请退款","无退款申请","2023-12-03 21:23:17","2023-12-03 21:23:21",="710443252162","null","null","","null","2023-12-04 09:17:02","No:773258639888277","申通快递","否","null","null"
="3659700495926829885",="3659700495926829885","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001144251451544345","99.00","99.00","没有申请退款","无退款申请","2023-12-03 21:17:28","2023-12-03 21:17:34",="710443252162","null","null","","null","2023-12-04 09:16:59","No:773258639888265","申通快递","否","null","null"
="3659036580747996929",="3659036580747996929","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001188451449333871","99.00","99.00","没有申请退款","无退款申请","2023-12-03 20:58:43","2023-12-03 20:58:45",="710443252162","null","null","","null","2023-12-04 09:16:58","No:773258639888253","申通快递","否","null","null"
="3659433553633381905",="3659433553633381905","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023120322001199471423508289","99.00","99.00","没有申请退款","无退款申请","2023-12-03 20:42:38","2023-12-03 20:42:41",="710443252162","null","null","","null","2023-12-04 09:36:21","No:773258639888241","申通快递","否","null","null"
="3659633967101803302",="3659633967101803302","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易成功","YD105深咖",="2023120322001134091413192253","99.00","99.00","没有申请退款","无退款申请","2023-12-03 20:35:04","2023-12-04 15:40:43",="710443252162","null","null","","null","2023-12-05 08:57:35","No:773258808143829","申通快递","否","null","null"
="3659400181174326613",="3659400181174326613","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023120322001173631443593774","99.00","99.00","退款成功","99.00","2023-12-03 20:22:23","2023-12-03 20:22:30",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659600163018653314",="3659600163018653314","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001183461400769859","99.00","99.00","没有申请退款","无退款申请","2023-12-03 20:16:57","2023-12-03 20:17:03",="710443252162","null","null","","null","2023-12-04 09:16:54","No:773258639888228","申通快递","否","null","null"
="2029700427428401095",="2029700427428401095","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","卖家已发货，等待买家确认","YD105深咖",="2023120322001189211457583546","99.00","99.00","没有申请退款","无退款申请","2023-12-03 19:59:49","2023-12-03 19:59:53",="710443252162","null","null","","null","2023-12-04 09:25:07","No:773258639888216","申通快递","否","null","null"
="3659424050480835410",="3659424050480835410","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001179991459678566","99.00","99.00","没有申请退款","无退款申请","2023-12-03 19:56:45","2023-12-03 19:56:51",="710443252162","null","null","","null","2023-12-04 09:16:47","No:773258639888204","申通快递","否","null","null"
="3659549943944048179",="3659549943944048179","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023120322001197431411512902","99.00","99.00","没有申请退款","无退款申请","2023-12-03 19:56:11","2023-12-03 19:56:22",="710443252162","null","null","","null","2023-12-04 09:35:27","No:773258639888198","申通快递","否","null","null"
="3659425166197835410",="3659425166197835410","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易关闭","YD105焦糖",="2023120322001179991402494031","99.00","99.00","退款成功","99.00","2023-12-03 19:55:00","2023-12-03 19:55:07",="710443252162","null","null","","null","null","null","null","否","null","null"
="3658898304613482443",="3658898304613482443","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易关闭","YD105焦糖",="2023120322001160461408523565","99.00","99.00","退款成功","99.00","2023-12-03 19:44:07","2023-12-04 09:37:57",="710443252162","null","null","","null","null","null","null","否","null","null"
="3658893516842675747",="3658893516842675747","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001188691451656416","99.00","99.00","买家已经退货，等待卖家确认收货","0.00","2023-12-03 19:43:01","2023-12-03 19:43:03",="710443252162","null","null","","null","2023-12-04 09:35:23","No:773258639888186","申通快递","否","null","null"
="3658843116580078876",="3658843116580078876","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","卖家已发货，等待买家确认","YD105深咖",="2023120322001163781441135245","99.00","99.00","没有申请退款","无退款申请","2023-12-03 19:18:58","2023-12-03 19:19:18",="710443252162","null","null","","null","2023-12-04 09:25:22","No:773258640180923","申通快递","否","null","null"
="3659265757625043322",="3659265757625043322","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易关闭","YD105黑色",="2023120322001133151447921716","99.00","99.00","退款成功","99.00","2023-12-03 19:14:52","2023-12-03 19:14:54",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659215465232074916",="3659215465232074916","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易关闭","YD105黑色",="2023120322001153771440427019","99.00","99.00","退款成功","99.00","2023-12-03 18:43:06","2023-12-03 18:43:11",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659289626461628269",="3659289626461628269","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001107641424690297","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:42:33","2023-12-03 18:42:43",="710443252162","null","null","","null","2023-12-04 09:16:43","No:773258640180911","申通快递","否","null","null"
="3659283110997304432",="3659283110997304432","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001135391417828393","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:39:51","2023-12-03 18:39:58",="710443252162","null","null","","null","2023-12-04 09:16:38","No:773258640180900","申通快递","否","null","null"
="3659204413095672312",="3659204413095672312","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001153011454508874","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:34:46","2023-12-03 18:34:53",="710443252162","null","null","","null","2023-12-04 09:16:36","No:773258640180893","申通快递","否","null","null"
="2029976221029066888",="2029976221029066888","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易关闭","YD105焦糖",="2023120322001164111413061688","99.00","99.00","退款成功","99.00","2023-12-03 18:32:31","2023-12-03 18:32:32",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659274326309284547",="3659274326309284547","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001110161414233165","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:31:10","2023-12-03 18:31:11",="710443252162","null","null","","null","2023-12-04 09:16:32","No:773258640180881","申通快递","否","null","null"
="3659265146216721628",="3659265146216721628","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001188221455787982","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:24:27","2023-12-03 22:50:36",="710443252162","null","null","","null","2023-12-04 09:17:12","No:773258639283251","申通快递","否","null","null"
="3658744404829772240",="3658744404829772240","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023120322001171051434445216","99.00","99.00","退款成功","99.00","2023-12-03 18:24:26","2023-12-03 18:24:28",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659179897907772240",="3659179897907772240","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","null","交易关闭","YD105米杏",="2023120322001171051434664292","99.00","99.00","退款成功","99.00","2023-12-03 18:24:07","2023-12-03 18:24:09",="710443252162","null","null","","null","null","null","null","否","null","null"
="3658748652611217142",="3658748652611217142","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023120322001136641430336608","99.00","99.00","退款成功","99.00","2023-12-03 18:23:55","2023-12-03 18:24:02",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659169061854941154",="3659169061854941154","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023120322001147201437431632","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:23:52","2023-12-03 18:23:54",="710443252162","null","null","","null","2023-12-04 09:35:20","No:773258640180870","申通快递","否","null","null"
="3658749336588015780",="3658749336588015780","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023120322001104091410557867","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:23:47","2023-12-03 18:23:49",="710443252162","null","null","","null","2023-12-04 10:13:45","No:773258640180844","申通快递","否","null","null"
="3659250530874142571",="3659250530874142571","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120322001101411410016268","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:23:15","2023-12-03 18:23:51",="710443252162","null","null","","null","2023-12-04 09:16:27","No:773258640180868","申通快递","否","null","null"
="3658746132610451155",="3658746132610451155","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易成功","YD105深咖",="2023120322001157101431255060","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:23:09","2023-12-03 18:23:15",="710443252162","null","null","","null","2023-12-04 09:26:06","No:773258640180856","申通快递","否","null","null"
="3659389599165015780",="3659389599165015780","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120322001104091410820555","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:22:49","2023-12-03 18:22:53",="710443252162","null","null","","null","2023-12-04 10:13:45","No:773258640180844","申通快递","否","null","null"
="3659248910890858542",="3659248910890858542","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易关闭","YD105黑色",="2023120322001175441401483228","99.00","99.00","退款成功","99.00","2023-12-03 18:22:39","2023-12-03 18:22:41",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659183893303142571",="3659183893303142571","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易关闭","YD105黑色",="2023120322001101411411543129","99.00","99.00","退款成功","99.00","2023-12-03 18:22:36","2023-12-03 18:22:45",="710443252162","null","null","","null","null","null","null","否","null","null"
="3658757544067853602",="3658757544067853602","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","卖家已发货，等待买家确认","YD105灰色",="2023120322001161331425494298","99.00","99.00","没有申请退款","无退款申请","2023-12-03 18:22:34","2023-12-03 18:22:42",="710443252162","null","null","","null","2023-12-04 09:36:17","No:773258640180832","申通快递","否","null","null"
="2026799403377405698",="2026799403376405698","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112722001158661442027088","99.00","99.00","没有申请退款","无退款申请","2023-11-27 09:24:34","2023-11-27 09:24:44",="710443252162","null","null","","null","2023-11-27 15:53:20","No:773257520962279","申通快递","否","null","null"
="2026799403378405698",="2026799403376405698","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","null","交易成功","YD105米杏",="2023112722001158661442027088","99.00","99.00","没有申请退款","无退款申请","2023-11-27 09:24:34","2023-11-27 09:24:44",="710443252162","null","null","","null","2023-11-27 15:53:20","No:773257520962279","申通快递","否","null","null"
="3645902629065222956",="3645902629064222956","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","null","交易关闭","YD105米杏",="2023112522001193511430128731","99.00","99.00","退款成功","99.00","2023-11-25 11:13:16","2023-11-25 11:13:25",="710443252162","null","null","(收) YD105米杏*1 YD105深咖*1#","null","2023-11-26 16:33:50","No:773257416454356","申通快递","否","null","null"
="3645902629066222956",="3645902629064222956","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023112522001193511430128731","99.00","99.00","没有申请退款","无退款申请","2023-11-25 11:13:16","2023-11-25 11:13:25",="710443252162","null","null","(收) YD105米杏*1 YD105深咖*1#","null","2023-11-26 16:33:50","No:773257416454356","申通快递","否","null","null"
="3645902629067222956",="3645902629064222956","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023112522001193511430128731","99.00","99.00","退款成功","99.00","2023-11-25 11:13:16","2023-11-25 11:13:25",="710443252162","null","null","(收) YD105米杏*1 YD105深咖*1#","null","2023-11-26 16:33:50","No:773257416454356","申通快递","否","null","null"
="3644176500131911066",="3644176500131911066","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112422001113471421446406","99.00","99.00","没有申请退款","无退款申请","2023-11-24 12:22:32","2023-11-24 12:22:33",="710443252162","null","null","","null","2023-11-24 17:02:20","No:773257086483650","申通快递","否","null","null"
="2024079385901870085",="2024079385900870085","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112222001114671442487401","99.00","99.00","没有申请退款","无退款申请","2023-11-22 13:30:53","2023-11-22 13:30:59",="710443252162","null","null","","null","2023-11-23 16:42:10","No:773256904418955","申通快递","否","null","null"
="2024079385902870085",="2024079385900870085","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023112222001114671442487401","99.00","99.00","没有申请退款","无退款申请","2023-11-22 13:30:53","2023-11-22 13:30:59",="710443252162","null","null","","null","2023-11-23 16:42:10","No:773256904418955","申通快递","否","null","null"
="3642006423051909123",="3642006423051909123","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112222001199801422986696","99.00","99.00","没有申请退款","无退款申请","2023-11-22 13:06:28","2023-11-22 13:06:41",="710443252162","null","null","","null","2023-11-23 16:48:52","No:773256886313622","申通快递","否","null","null"
="3640917204570828627",="3640917204570828627","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112222001120581421685719","99.00","99.00","没有申请退款","无退款申请","2023-11-22 07:58:50","2023-11-22 07:58:54",="710443252162","null","null","","null","2023-11-22 16:04:11","No:773256746482548","申通快递","否","null","null"
="3641545227574560836",="3641545227574560836","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023112222001157831406376412","99.00","99.00","退款成功","99.00","2023-11-22 07:51:09","2023-11-22 07:51:12",="710443252162","null","null","","null","null","null","null","否","null","null"
="3641538063876786813",="3641538063876786813","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105深咖","颜色分类：深咖","null","null","交易关闭","YD105深咖",="2023112222001178711432772133","99.00","99.00","退款成功","99.00","2023-11-22 07:38:30","2023-11-22 07:38:32",="710443252162","null","null","(收) YD105深咖*1#","null","2023-11-23 16:48:15","No:773256904265411","申通快递","否","null","null"
="2023554471627703196",="2023554471627703196","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023112222001191491404557411","99.00","99.00","没有申请退款","无退款申请","2023-11-22 07:04:04","2023-11-22 07:04:11",="710443252162","null","null","","null","2023-11-22 14:19:07","No:773256702561202","申通快递","否","null","null"
="2023542591986492083",="2023542591986492083","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","送货上门","交易关闭","YD105米杏",="2023112222001147041447730085","99.00","99.00","退款成功","99.00","2023-11-22 05:17:30","2023-11-22 05:17:35",="710443252162","null","null","","送货上门","null","null","null","否","null","null"
="3641220541987236617",="3641220541987236617","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易关闭","YD105黑色",="2023112222001122751457346143","99.00","99.00","退款成功","99.00","2023-11-22 01:02:31","2023-11-22 01:02:40",="710443252162","null","null","","null","null","null","null","否","null","null"
="3640771908287657852",="3640771908287657852","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易成功","YD105灰色",="2023112122001137541447523210","99.00","99.00","没有申请退款","无退款申请","2023-11-21 23:44:00","2023-11-21 23:44:06",="710443252162","null","null","","null","2023-11-22 16:04:28","No:773256746482536","申通快递","否","null","null"
="3640751532109423904",="3640751532109423904","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023112122001102191403264510","99.00","99.00","没有申请退款","无退款申请","2023-11-21 23:24:50","2023-11-21 23:25:00",="710443252162","null","null","","null","2023-11-23 16:50:59","No:773256904265400","申通快递","否","null","null"
="2023695482047249982",="2023695482047249982","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","交易关闭","YD105灰色",="2023112122001177551451186599","99.00","99.00","退款成功","99.00","2023-11-21 22:51:07","2023-11-21 22:51:16",="710443252162","null","null","","null","null","null","null","否","null","null"
="3641329479333485639",="3641329479333485639","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易成功","YD105焦糖",="2023112122001133791422502873","99.00","99.00","没有申请退款","无退款申请","2023-11-21 22:48:17","2023-11-21 22:48:19",="710443252162","null","null","","null","2023-11-22 14:18:49","No:773256702561196","申通快递","否","null","null"
