"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3629985121998884729",="3629985121998884729","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001男款Z","颜色分类：男袜[适合39-45鞋码];尺码：无规格","null","null","交易成功","HZQS001男款Z",="2023111422001105991417374418","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:53:13","2023-11-14 12:53:18",="748197775574","null","null","","null","2023-11-16 08:45:57","No:773255434722338","申通快递","否","null","null"
="3630098846956415961",="3630098846955415961","【老板娘美林】长97  慕江南-卫裤-美式优雅","9999.00","1","HFDK022岩灰E","颜色分类：岩灰[主播推荐];尺寸：XL[135-155斤腰79.5]","null","null","交易成功","HFDK022岩灰E",="2023111422001161221432555970","239.00","239.00","没有申请退款","无退款申请","2023-11-14 12:53:09","2023-11-14 12:53:16",="748097154659","null","null","","null","2023-11-22 14:04:57","No:773256702423350","申通快递","否","null","null"
="3630098846957415961",="3630098846955415961","【老板娘美林】慕江南-加绒云朵裤","9999.00","1","K008黑色R+K008黑色R","颜色分类：黑色*2;尺寸：2XL[130-150斤]","null","null","交易成功","K008黑色R+K008黑色R",="2023111422001161221432555970","179.00","179.00","没有申请退款","无退款申请","2023-11-14 12:53:09","2023-11-14 12:53:16",="747924024263","null","null","","null","2023-11-18 09:03:33","No:773255850159893","申通快递","否","null","null"
="3630248643743495135",="3630248643743495135","【老板娘美林】女长56男长68.5 慕江南-T恤-呵肤T恤（男款+女款）","9999.00","1","HFXT006白色E","主要颜色：白色;尺码：男款XL：120-140斤[胸106]","null","null","交易成功","HFXT006白色E",="2023111422001160981459756797","99.00","99.00","没有申请退款","无退款申请","2023-11-14 12:52:45","2023-11-14 12:52:55",="748702691183","null","null","","null","2023-11-15 14:43:28","No:773255412115645","申通快递","否","null","null"
="2018779933873823870",="2018779933873823870","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001男款Z","颜色分类：男袜[适合39-45鞋码];尺码：无规格","null","null","交易成功","HZQS001男款Z",="2023111422001111911426963942","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:52:35","2023-11-14 12:52:36",="748197775574","null","null","","null","2023-11-15 13:29:13","No:773255412115639","申通快递","否","null","null"
="3629996281349939443",="3629996281349939443","【老板娘美林&断码不可加】长90.5  慕江南-牛仔裤-冬日恋歌","9600.00","1","HFDK020米白M","颜色分类：白色;尺寸：M[腰围70/2.1尺/27 108斤]","null","null","交易关闭","HFDK020米白M",="2023111422001162091431411262","379.00","379.00","退款成功","379.00","2023-11-14 12:52:14","2023-11-14 22:04:51",="748167883833","null","null","(收) HFDK020米白M*1#","null","2023-11-16 09:09:52","No:773255477829695","申通快递","否","null","null"
="2018761394501514976",="2018761394501514976","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001109831408847557","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:51:45","2023-11-14 12:51:50",="748197775574","null","null","","null","2023-11-15 13:00:33","No:773255412811213","申通快递","否","null","null"
="2018779897674539585",="2018779897674539585","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001男款Z","颜色分类：男袜[适合39-45鞋码];尺码：无规格","null","null","交易成功","HZQS001男款Z",="2023111422001189181425691197","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:51:38","2023-11-14 12:51:42",="748197775574","null","null","","null","2023-11-15 13:36:23","No:773255411522236","申通快递","否","null","null"
="3630253935394780523",="3630253935394780523","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","2","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001134851438989464","138.00","138.00","没有申请退款","无退款申请","2023-11-14 12:51:10","2023-11-14 12:51:16",="748197775574","null","null","","null","2023-11-15 16:52:47","No:773255434564336","申通快递","否","null","null"
="2018761286320004082",="2018761286320004082","【老板娘美林&富婆套装】衣长60.5裤长99 慕江南-套装-松弛滤镜","9999.00","1","S015藏L+K021藏L+T001原","颜色分类：藏青[【套装】-15天左右发];尺码：L/XL[120-155斤胸107腰68]","null","null","交易关闭","S015藏L+K021藏L+T001原",="2023111422001164321429008240","1280.00","1280.00","退款成功","1280.00","2023-11-14 12:51:03","2023-11-14 12:51:14",="748169043635","null","null","","null","null","null","null","否","null","null"
